,index,country,camp_name,sample,coefficient_variation_ndvi,daytime_maximum_temperature,evi_change,flow_accumulation,friction,interannual_coefficient_variation_precipitation,pdsi,population,precipitation,seasonal_precipitation_max,slope,specific_humidity,ssm,susm,temperature_anomaly,longitude,latitude,exposure,rank,percentile,min_exposure,max_exposure,min_rank,min_percentile,max_rank,max_percentile
1852,00000000000000000069,South Sudan,,sample_camp,0.3319128141541425,0.47529637464812097,0.29531223736293577,0.0001300024947195403,0.2771688469071121,0.20647199951273468,0.07685581573086694,0.02474689149288309,0.32164952057960744,0.6688024298844452,0.16739110084380532,0.783167246810785,0.3912551118208814,0.4225736197637773,0.5308300566045888,29.82944179168017,5.19492213630453,0.3544562278034243,585.0,0.41774675972083747,0.3115851259026882,0.38988885033429477,551.0,0.45164506480558325,584.0,0.4187437686939183
1853,00000000000000000091,South Sudan,,sample_camp,0.2933269051773466,0.548054711160886,0.3392643597356403,7.512108432230906e-05,0.2599209781214982,0.16297058270827047,0.08854253588349323,0.024746647060941353,0.30226839840872627,0.6142616905932343,0.05501067220701271,0.7719028626124975,0.43674604909740966,0.5894094458807236,0.5308300566045888,29.642186525728917,5.472148285961587,0.3427803325892672,699.0,0.3040877367896311,0.2998680795869442,0.3770508537397617,673.0,0.3300099700897308,699.0,0.3040877367896311
1854,0000000000000000009f,South Sudan,,sample_camp,0.21348791430596228,0.557679406968291,0.3999486609580354,0.0007495117707482774,0.25714237866461265,0.11706705452891292,0.08284125196697083,0.013120453141486318,0.5205180906337399,0.6473625436076643,0.04666213775154012,0.8430004120141817,0.44760615864165526,0.6388618954988878,0.5308300566045888,28.9804860804616,5.423962098633654,0.36831445483208236,486.0,0.5164506480558325,0.32084585911387237,0.40507094913821573,486.0,0.5164506480558325,485.0,0.5174476570289133
1855,000000000000000000a3,South Sudan,,sample_camp,0.20819170314034538,0.616466117085028,0.3956781581186332,0.0004154540926916114,0.08954561152492019,0.2246400453980957,0.1485427036319117,0.013235736633988759,0.22923431333494926,0.5272064076047572,0.0528139314603497,0.8213662345495717,0.48368135212263863,0.5835182592358031,0.5308300566045888,27.77067485980601,5.751835581323815,0.33861292976450025,728.0,0.27517447657028915,0.29033759928599306,0.3724326773316811,761.0,0.24227318045862412,725.0,0.2781655034895314
1856,000000000000000000ab,South Sudan,,sample_camp,0.1479644688478296,0.5411498550260897,0.25524310931310285,0.08664445008803748,0.25904270249290423,0.12193594588062796,0.13648441172672032,0.015628924503163194,0.1629378123474592,0.5663473314249252,0.06597007236508654,0.8894802331651556,0.5513344432645738,0.6842442702741137,0.5308300566045888,27.579152688143285,5.393679328684163,0.35565066494419717,577.0,0.42572283150548357,0.30226770812210135,0.38461872420210824,649.0,0.353938185443669,630.0,0.3728813559322034
1857,000000000000000000bd,South Sudan,,sample_camp,0.3697890451626094,0.5988699613496468,0.4551989162239146,0.00012051822769788882,0.25823057378049297,0.2756279546895336,0.1024731756987614,0.0071931994844716485,0.1965181120237035,0.4269582075583238,0.0517475429313782,0.7149880189180086,0.463841510777065,0.5927383305683857,0.5308300566045888,27.57758688908573,6.270697783137312,0.3291096029599273,804.0,0.19940179461615154,0.2905217613641192,0.36200851143315027,759.0,0.24426719840478564,804.0,0.19940179461615154
1858,000000000000000000c3,South Sudan,,sample_camp,0.12389704648461004,0.5771084371166892,0.31221307740484544,4.219705452704196e-05,0.25727137482089496,0.07224066295004368,0.12407239035546519,0.023378127741082458,0.22305313785475261,0.6381463122365089,0.04556921014225336,0.90719169041545,0.46766514294708755,0.6699330695400315,0.5308300566045888,28.093040314446483,5.134142984994874,0.3493809647725692,635.0,0.3678963110667996,0.2935998922082811,0.38431484154437345,735.0,0.26819541375872386,631.0,0.37188434695912265
1859,000000000000000000db,South Sudan,,sample_camp,0.26739420529027497,0.513204835644776,0.2531781572234433,0.17807054895939872,0.25684566204417486,0.20670943255666968,0.07015150083800956,0.024746858584167773,0.28762391562405304,0.6442864092492087,0.05721487538431562,0.815126638433866,0.424588691496144,0.46912377995641874,0.5308300566045888,29.77882354843733,5.228865274944614,0.3622411424395641,524.0,0.4785643070787637,0.3169525928401339,0.3927437691450889,517.0,0.48554336989032904,564.0,0.4386839481555334
1860,000000000000000000e3,South Sudan,,sample_camp,0.35704310068851797,0.623502895267928,0.39633636740946093,8.988394768832336e-05,0.2593805079972419,0.23638777770015476,0.12124201170479693,0.01323565705601311,0.14292123587074232,0.43793846038607165,0.05827606917099195,0.8035417749315223,0.46247964093024124,0.5658896960363211,0.5308300566045888,27.76867388343934,5.95396948323831,0.33423548313745166,767.0,0.23629112662013957,0.2873048539580446,0.36765004305642796,792.0,0.21136590229312063,765.0,0.2382851445663011
1861,000000000000000000f3,South Sudan,,sample_camp,0.31926727488556067,0.548054711160886,0.3623474205655181,0.00011400189324160969,0.25423831331319824,0.17080649284291155,0.08215819935229231,0.024746667644742905,0.30940545052494156,0.6232556810976994,0.04142618031617693,0.7746123619826303,0.43674604909740966,0.5894094458807236,0.5308300566045888,29.605614786268976,5.450229386709558,0.34287704528963425,698.0,0.3050847457627119,0.2997035136203346,0.3771533496292735,675.0,0.32801595214356927,698.0,0.3050847457627119
