index,country,camp_name,coefficient_variation_ndvi,daytime_maximum_temperature,evi_change,flow_accumulation,friction,interannual_coefficient_variation_precipitation,pdsi,population,precipitation,seasonal_precipitation_max,slope,specific_humidity,ssm,susm,temperature_anomaly,longitude,latitude
1,Kenya,Kakuma,0.2976822917368144,306.3569012107269,0.2115794542755777,415.0061612338424,0.0014503762630973334,0.3059758122789957,78.09471053148023,15155.024758861728,0.7406240000714988,114.61851690802943,0.8565023204044057,0.012052901175772334,8.613969867162183,53.883711570544186,2.613616943359375,34.83166341855952,3.7449668813199923
2,Kenya,Hagadera,0.21237508881117903,306.09698486328125,0.16819056751196101,243.67335728119198,0.0014999429829800001,0.38051867788721705,-176.25531402442255,13741.421379894331,0.8757395865396521,208.239479030578,0.8583587174923901,0.013950894805411002,3.394585792996046,20.26883422955368,1.363894845580342,40.37106714941989,0.001313893713708
3,Kenya,Dagahaley,0.27791159347676003,306.3777770996094,0.14714229466429202,5.406012469040908,0.001377612225287,0.367892628678243,-177.06883891301078,25841.313108679846,0.567036338978767,203.99591419471497,0.664600755515084,0.013849596194056001,3.763866817533441,13.296886934806789,1.32232666015625,40.29015739676902,0.18605408560254003
4,Kenya,Ifo,0.29622164179502103,306.3777770996094,0.15113554337267202,294.9554893717021,0.0014383053180920002,0.40456587485959306,-180.27213526367427,23675.677981076882,0.676285248570152,212.25984543019786,0.75040887550296,0.013902091054478,3.499151229858398,15.9183931350708,1.32232666015625,40.31519729917562,0.11604011988043801
5,Ethiopia,Kule,0.403589226205729,305.8998107910156,0.089986680724285,2.317165732431044,0.0032139167398600003,0.10041318512420601,-198.9599948689641,1603.5782355958302,0.8398525743749561,111.24601228342412,3.550111991285824,0.012872051846845001,16.51347541809082,133.15476989746094,1.6324462890625,34.291529510550724,8.275402702837043
6,Uganda,Bidi Bidi,0.291497610113842,304.7466915537995,0.12005857765843,6.856993775225574,0.0012529549186250002,0.11408189092916701,-149.4684326650902,19505.817050064732,-0.25352086985126404,192.6064585187689,2.372766338628477,0.012551708688878001,13.2977805245267,87.78880718713691,2.26092529296875,31.38299819334441,3.468532851173854
7,South Sudan,Yida,0.5118425945693861,307.5507507324219,0.09731702228583901,48.1871745764823,0.0026743511393240004,0.13676359689237802,-56.658957197675385,743.8308185308697,0.258010994612903,40.01978791892775,0.84308579982912,0.010174596463451,6.731849777196608,57.94786069788144,2.37969970703125,30.086080302526447,10.113054837635154
8,Tanzania,Nduta,0.2556807401052278,298.4548286509654,0.1598161663722468,22.798112020291008,0.002555304889743,0.126317541892663,-282.5721890182442,1401.8467153593951,0.30319268494573076,427.2506971500106,1.9520923114178206,0.011381928261049752,15.051766255286223,93.79564968750091,2.238555908203125,30.841255153405992,-3.656156305054907
9,Tanzania,Mtendeli,0.263960979052693,297.75384521484375,0.176540306892012,10.956534951222338,0.001948111937652,0.118807914793496,-277.30824559206553,2629.348614215079,0.19083968327393203,386.8957022364472,3.709245393148152,0.011379203901975,14.920228004455566,91.495361328125,2.238555908203125,30.888483320310407,-3.4273417213261013
10,Ethiopia,Pugnido,0.30618609715280803,305.259789717394,0.138996052782309,2.588486946347171,0.002265432713972,0.11730851762723402,-166.50926633684693,531.8431081911032,1.055286898593331,101.16402634089006,1.123128503200427,0.013008246198296,13.067155838012695,125.21841430664062,1.6324462890625,34.2590995325535,7.645984030922479
11,Ethiopia,Melkadida,0.293657398621734,306.6082458496094,0.13784521662010502,7.338000204388514,0.00099913874738,0.35239503055548105,-48.642857142857146,577.2578097542385,0.244019031524658,162.4188461303711,1.464745367686338,0.012057246640324001,5.284196376800537,40.947174072265625,1.599517822265625,41.7208281920407,4.5192059310151045
12,South Sudan,Pamir,0.539553377069529,307.2516476597306,0.15698379874030702,1.556080307215522,0.01238503309555,0.13165862017912602,-68.90348622460026,743.8430505699879,0.59494503333242,67.13531750146257,0.8922645446156171,0.010263702832162,6.5109251302857825,51.566392690515606,2.0718994140625,30.35590412227259,9.909969468711148
13,South Sudan,Ajuong Thok,0.533153860617526,307.41943359375,0.088892975319592,2.987939328377104,0.007336345432499,0.13074677467081902,-69.52216283587279,743.839417509743,0.443841934204101,56.535441398620605,0.9688547957745801,0.010282896459102001,6.254423141479492,49.32069396972656,2.0718994140625,30.279762679545986,9.965489914638956
14,Tanzania,Nyarugusu,0.289659174620228,301.4332103073914,0.11119845534839301,41.857397739437566,0.001825281154778,0.12944549576491401,-312.03712014285503,9032.910190643124,0.710773436367085,279.9776427759059,1.8599916373652041,0.011851481005982,16.267470953386642,95.31247566290796,2.238555908203125,30.38945000071806,-4.230328621797327
15,Uganda,Palorinya,0.265878284113856,304.22717247004243,0.115520220737668,39.066064011727306,0.0012885168035910001,0.11635917737892601,-111.00039373038251,-1570.2081202812547,-0.5456964945071291,185.10109520009394,1.5839593866980022,0.012946396745701002,10.728672599853418,76.11574737787417,2.26092529296875,31.627836276896137,3.486110769662636
16,Uganda,Nyumanzi,0.32557522054917004,304.1275634765625,0.09086800001087,18.264341666769145,0.0013164304170560001,0.116466190882685,-84.91074661479168,1557.4116191154685,-0.27111530968908304,185.84217557458047,1.293068348924304,0.012707440182566001,12.195500294608866,80.36878483968518,2.26092529296875,31.945198326676575,3.467143689427699
17,Ethiopia,Nguenyyiel,0.424734470906435,305.37355010723945,0.08847755738347701,61.09735602965809,0.001189943225964,0.10527159162197801,-203.92484128284335,1603.5758719410826,0.9515484446510271,107.54465710600007,3.352727472099971,0.012836367178286002,16.51347541809082,133.15476989746094,1.6324462890625,34.240537291772824,8.29580904349382
