index,coefficient_variation_ndvi,country,daytime_maximum_temperature,evi_change,flow_accumulation,friction,interannual_coefficient_variation_precipitation,latitude,longitude,pdsi,population,precipitation,seasonal_precipitation_max,slope,specific_humidity,ssm,susm,temperature_anomaly
000000000000000000be,0.317799003016617,Ethiopia,302.6014709472656,0.143175399508555,10.312741265425668,0.012399937872206002,0.13750896335558602,13.582996289768712,38.99898236120969,-57.15697816689541,4059.693806935789,0.977639655956101,38.13016857142961,6.5321296577227965,0.009319296265977,7.196095466613769,42.96120071411133,1.9339599609375
000000000000000000c9,0.44829962551158303,Ethiopia,300.3662611691997,0.14773304150945502,30.845695875341484,0.004040697085951,0.11773917468032201,13.659348933932268,38.34594215002471,-72.04669536919246,2317.20558446981,-0.321740722672605,62.727710365742354,10.913639916963223,0.009161005727946,10.14578914642334,63.81840896606445,1.9339599609375
000000000000000000d5,0.44546521470408,Ethiopia,297.75065746247077,0.163764213275077,2.043717989560615,0.026854303749830003,0.18732944961102402,13.614898974074022,39.58283445845589,-100.07926054158936,4559.171281262113,1.2610712051391602,59.82007932662964,8.17453907915669,0.008145399391651001,8.363778114318848,55.0502815246582,1.9339599609375
000000000000000000e1,0.456410440747721,Ethiopia,300.3116760253906,0.14837645437701302,6.67647094778792,0.017281376385691,0.12950529624221202,14.15681545807243,39.023607660981774,-73.3015873015873,7007.717875018385,0.6883753718619361,73.63385093638391,8.11486941458763,0.008275229483842001,6.6808442454240655,41.47925028907815,1.9339599609375
000000000000000000e5,0.452062264095802,Ethiopia,301.1961975097656,0.152023881821703,7.871934438260658,0.0011738702226840002,0.12685985151068202,14.022300814794527,38.98119667444174,-62.61904761904762,5394.573098870027,0.35904502868652305,49.73498868942261,4.25161599884922,0.009042744524776,6.360045433044434,38.660762786865234,1.9339599609375
000000000000000000e9,0.27238797503913204,Ethiopia,294.58567304125694,0.162509210296956,2.179936012944507,0.111700300082698,0.117029860035116,13.533957198048393,38.35839598228518,-54.634002934539815,3272.7148726811383,-0.29104231410981,81.67679260943716,30.598624207546166,0.007853633724153,11.417896270751953,74.80989837646484,1.9339599609375
000000000000000000ef,0.26782963324845305,Ethiopia,297.8848571777344,0.183620374737991,5.4388442664974015,0.069587221389246,0.18176865939501102,14.542786701483651,39.680869499420865,-135.85315091630025,767.7306271573873,0.096404986794678,127.21532234149433,29.936779243891834,0.008486445061862,7.941267967224121,36.68540954589844,1.9339599609375
000000000000000000fb,0.272872937647205,Ethiopia,301.91497802734375,0.165846780475105,2.147261152722962,0.038759546191729,0.223746074712066,14.26853624920634,39.83992187147616,-129.8281967279565,1106.384792359698,0.450565338134765,156.3698935508728,26.50145137176085,0.008890188299119,4.606653690338135,22.58987045288086,1.9339599609375
00000000000000000102,0.34473241615328004,Ethiopia,299.1943359375,0.155327785568934,2.355837762374782,0.040189819431816,0.14315813681948902,13.811787791605331,39.352016816999964,-79.52777777777777,4559.083965232401,0.9292966154344651,56.92974273029829,9.14248056379284,0.008900532498955002,7.227709770202637,41.98028564453125,1.9339599609375
0000000000000000010a,0.409096613426126,Ethiopia,305.51922607421875,0.144731605632375,20.234818951716377,0.018491713721985003,0.112832380489412,14.283179472825209,37.846293742416954,-135.1685518406851,1254.5497200603245,0.7260504430429091,41.08757214663973,5.771647874548013,0.010260201990604002,11.14061450958252,58.46220016479492,1.9339599609375
0000000000000000010e,0.348970880823785,Ethiopia,300.3121032714844,0.167314996322277,3.122740328790562,0.010855897720467,0.12993851067425902,14.213182511693388,38.90502265126191,-70.749921183002,7007.676871404219,0.367671291561367,87.34561894577723,8.190957229047038,0.008329410173947,7.7080397605896,42.75478744506836,1.9339599609375
00000000000000000125,0.49719756285625905,Ethiopia,307.34295654296875,0.12338797032531001,18.360387621591165,0.021355443323796002,0.08689860073556101,13.67061302568967,37.92575029391876,-73.9598191558168,2317.1997115154836,0.18616485595703103,63.197869539260864,1.425911078688781,0.010374786332249001,11.05264663696289,78.74666595458984,1.9339599609375
00000000000000000130,0.283062875192993,Ethiopia,299.3253173828125,0.17624596644317903,4.671434349376769,0.001412098390526,0.153714154695411,13.551564050149604,39.325199315481726,-72.67360107995104,5051.458829819798,1.185947074396415,48.340999893974065,12.214987586706915,0.009036584757268,7.796722888946533,52.787940979003906,1.9339599609375
00000000000000000145,0.45375783569308403,Ethiopia,302.1225891113281,0.129758486625795,176.53235322920239,0.023819194101724003,0.133665863397458,13.872989947084834,38.94277582059666,-65.60008790276135,5336.672755087421,0.169917945080123,52.13745970755897,15.835048031561074,0.009761048480868001,7.862330425779652,48.03973973138857,1.9339599609375
00000000000000000169,0.213227433947922,Ethiopia,295.28717041015625,0.16829995582401802,414.1645640731288,0.05138272739235301,0.206087866243119,14.393797572982002,39.73616641114856,-144.72222222222223,1907.6823206110146,-0.311172000309239,228.73714756580412,33.46057790053958,0.008697214001605,6.976985931396484,33.60774612426758,1.9339599609375
00000000000000000172,0.456589054508915,Ethiopia,307.2625732421875,0.1071691949961,4.740557267968099,0.020507020281426,0.10826113090641401,14.066126361240356,37.89459207683944,-125.92460317460318,2598.3525738394133,0.702339075824694,43.742778316216736,10.864905702650269,0.010254137442456,11.36862949755999,67.80575715163963,1.9339599609375
00000000000000000177,0.41518374472884,Ethiopia,292.5278015136719,0.11869044134572201,71.42752291329701,0.029479175260571002,0.11368133338674101,13.62228680445756,38.29067358153651,-73.64112313470872,2317.2130128771946,-0.08002750533401701,67.17119998248401,15.568966544701448,0.010283977301059,10.14578914642334,63.81840896606445,1.9339599609375
00000000000000000178,0.30581473236302503,Ethiopia,302.6014709472656,0.126079035390425,14.686318240303907,0.042356673359257004,0.136824822949553,13.613737875523503,39.047861966301944,-45.387023048501916,5051.4159400563185,1.275475425771635,40.90404814853438,21.174963443061966,0.008348817005753,7.775916576385498,46.42950439453125,1.9339599609375
00000000000000000185,0.342739951433331,Ethiopia,295.0142822265625,0.17178606582397102,32.08786708071497,0.010782286653026002,0.165621659965928,14.142559194596561,39.535053666302645,-100.09937993666581,5519.610819669636,0.533834763959786,117.09075015289092,6.194831799718102,0.007099497132003,10.27798843383789,48.06014633178711,1.9339599609375
