Unnamed: 0,index,country,camp_name,sample,coefficient_variation_ndvi,daytime_maximum_temperature,evi_change,flow_accumulation,friction,interannual_coefficient_variation_precipitation,pdsi,population,precipitation,seasonal_precipitation_max,slope,specific_humidity,ssm,susm,temperature_anomaly,longitude,latitude,edge,exposure,rank,percentile,min_exposure,max_exposure,min_rank,min_percentile,max_rank,max_percentile
3650,2,Tanzania,,sample_camp,0.2747138945610258,0.8289452014664144,0.517378362454711,0.0006873455073191,0.2418893815021534,0.6385291823438164,0.0960706984995402,0.0150878087010747,0.4542789302145048,0.7032423622869868,0.0561737793661112,0.3486841985597846,0.709685437979719,0.4867935749328582,0.9999999996998692,30.69385619,-4.231497238,Burundi-Tanzania,0.4616533197660199,143.0,0.716566866267465,0.4078186517726351,0.50774991719189,146.0,0.7105788423153693,141.0,0.720558882235529
3651,64,Tanzania,,sample_camp,0.3572649707403827,0.8289452014664144,0.6869056342840328,3.0742966133099566e-05,0.2442517870129518,0.5946898236888823,0.096264517437303,4.56187624943011e-05,0.4607804583175927,0.6969939435384985,0.1015797237209128,0.433672894017414,0.7061937544415616,0.5052013346831866,0.9999999996998692,30.76440145,-4.137800273,Burundi-Tanzania,0.4694002587552303,122.0,0.7584830339321357,0.4163402846607663,0.51633721033414,125.0,0.7524950099800399,120.0,0.7624750499001997
3652,000000000000000000bc,Tanzania,,sample_camp,0.2541084995345004,0.8289452014664144,0.5431744580085848,0.0008138977558972,0.2516109030124523,0.6106115003949247,0.122359590506072,0.015087832245192,0.4418265349410412,0.646761400892379,0.0656444908398978,0.3933448713028327,0.668502612105616,0.4622717975090267,0.9999999996998692,30.65048974,-4.196993354,Burundi-Tanzania,0.4573110002652178,160.0,0.6826347305389222,0.4030421003217527,0.50296071051615,164.0,0.6746506986027944,158.0,0.6866267465069861
3653,155,Tanzania,,sample_camp,0.3735494297207042,0.8289452014664144,0.5617265565974408,0.002684234581196,0.2403305519601945,0.5614794304183736,0.1708671777141616,0.0150878875297158,0.4644018663355409,0.6054317931851163,0.0693293014617003,0.426819685728265,0.6575913837727295,0.4657330565080284,0.9999999996998692,30.60427846,-4.104325558,Burundi-Tanzania,0.4570800569385054,161.0,0.6806387225548902,0.4027880626623692,0.5025196391742364,166.0,0.6706586826347305,159.0,0.6846307385229541
3654,53,Tanzania,,sample_camp,0.578318110525087,0.4792007282366843,0.6283503576997769,0.0005721522707197,0.2838655536711866,0.7238727821322516,0.5339252350716213,0.0636821803306918,0.4259848291680662,0.569784489420258,0.4262321671909047,0.2626687268884403,0.60764311560836,0.3809049383918124,0.9999999996998692,30.24052897,-4.281734492,Burundi-Tanzania,0.483068161759851,86.0,0.8303393213572854,0.4313749779658493,0.5313177627087642,92.0,0.8183632734530938,85.0,0.8323353293413174
3655,000000000000000000ac,Tanzania,,sample_camp,0.4662590436620412,0.4792007282366843,0.6004904705104841,0.0161112275689295,0.0241490196494032,0.5734932625091292,0.2582663978097526,0.0822313255586886,0.3367655713630074,0.4080338772738109,0.0458283388864799,0.3868686326687636,0.5883888547376201,0.3650523214814722,0.9999999996998692,30.35370423,-4.331975144,Burundi-Tanzania,0.3742823554912227,421.0,0.1616766467065868,0.3117105910703581,0.410099468283452,428.0,0.1477045908183632,422.0,0.1596806387225549
3656,105,Tanzania,,sample_camp,0.4963361605302674,0.4792007282366843,0.598775489444572,0.0042751558392582,0.0099436111666567,0.5941997450148783,0.2466679913840966,0.0601652560109203,0.3180055298046815,0.3635097302759039,0.0402385723206878,0.3892705068763992,0.5990767574398065,0.3711695650978949,0.9999999996998692,30.34268236,-4.307282328,Burundi-Tanzania,0.3676716661871749,429.0,0.1457085828343313,0.3044388328359053,0.4040113172219665,436.0,0.1317365269461078,429.0,0.1457085828343313
3657,0000000000000000012c,Tanzania,,sample_camp,0.6268569331405973,0.4792007282366843,0.6453019670629669,6.376520225030106e-05,0.0919777107139527,0.5716647866659115,0.49767480902966,0.199005591299556,0.2355442994453555,0.4083730385196638,0.3119458321671356,0.1783884979237109,0.5883888547376201,0.3650523214814722,0.9999999996998692,30.25230601,-4.346922709,Burundi-Tanzania,0.3966565747583467,376.0,0.2514970059880239,0.3363222322641945,0.4363158557139564,380.0,0.2435129740518962,375.0,0.2534930139720558
3658,0000000000000000000e,Tanzania,,sample_camp,0.4465149641591586,0.7596162123809818,0.5964833661901767,0.0010305698665411,0.2370247348752435,0.8016709290793046,0.0545582118241037,4.560302315082111e-05,0.5345341877695395,0.8302687441900536,0.0634807171221509,0.1893224368337095,0.7464457676201857,0.6532522146506703,0.9999999996998692,31.06899429,-4.342639983,Burundi-Tanzania,0.4743593192056075,109.0,0.7844311377245509,0.4217952511561814,0.5216921941395142,113.0,0.7764471057884231,108.0,0.7864271457085829
3659,52,Tanzania,,sample_camp,0.3450949820186544,0.7596162123809818,0.6869860834321347,0.0005861860725494,0.2352574998951837,0.7394864667816713,0.0407007691916797,4.560323167531227e-05,0.5324911690871191,0.8019883763793841,0.0510709372948215,0.1893224368337095,0.7464457676201857,0.6532522146506703,0.9999999996998692,31.04015042,-4.325179133,Burundi-Tanzania,0.4633605292033777,139.0,0.7245508982035929,0.4096965821537286,0.5096379635164605,142.0,0.718562874251497,138.0,0.7265469061876247
3660,000000000000000001f2,Tanzania,,sample_camp,0.4058774136600019,0.7596162123809818,0.6398102795685804,0.000150592157148,0.239272386316637,0.8237391832108131,0.0641246417624533,4.559507155874502e-05,0.4895105192356564,0.7304388141670468,0.0588031782089723,0.1663804910700483,0.7174084939946874,0.575486184699054,0.9999999996998692,31.00552607,-4.420430517,Burundi-Tanzania,0.4590404102003921,153.0,0.6966067864271457,0.4049444512504444,0.5049293920047166,157.0,0.688622754491018,153.0,0.6966067864271457
3661,0000000000000000019a,Tanzania,,sample_camp,0.3853518940613031,0.7484944047806449,0.6664689000784151,0.0743113447666684,0.2383574587402691,0.780202362129187,0.0432093876645729,4.559770577629675e-05,0.4922606478728999,0.6919417020437377,0.0810602913099243,0.2518448321962097,0.7166756265394408,0.6261192417039698,0.9999999996998692,30.90879052,-4.390187697,Burundi-Tanzania,0.465305277976675,134.0,0.7345309381237525,0.4118358058043555,0.5075148670078853,137.0,0.7285429141716567,144.0,0.7145708582834331
