Unnamed: 0,index,country,camp_name,sample,coefficient_variation_ndvi,daytime_maximum_temperature,evi_change,flow_accumulation,friction,interannual_coefficient_variation_precipitation,pdsi,population,precipitation,seasonal_precipitation_max,slope,specific_humidity,ssm,susm,temperature_anomaly,longitude,latitude,edge,exposure,rank,percentile,min_exposure,max_exposure,min_rank,min_percentile,max_rank,max_percentile
5,6,Uganda,Bidi Bidi,study_camp,0.5832093709452975,0.7778321528494593,0.2529373047634909,0.0004406730707491,0.0063052198251864,0.1266878599337131,0.3253862622452115,0.2243894255511089,0.1555063103553104,0.3536855163933553,0.0631650243090102,0.8414843927546224,0.5809081387786481,0.6218964448129757,0.0,31.38299819334441,3.468532851173854,['South Sudan-Uganda'],0.2937637773195696,359.0,0.2854291417165668,0.2389917157760643,0.3231401550515266,356.0,0.2914171656686626,359.0,0.2854291417165668
4004,8,Uganda,,sample_camp,0.7697684618510736,0.9150563351600643,0.5190299569995483,0.0088339665936987,0.2335161192787165,0.1424696524926131,0.5773685228345464,0.0627272986873744,0.3829023115699124,0.5063850515584123,0.0215574000560446,0.7999848762058527,0.4699551648398807,0.4581249593142571,8.860463128392799e-11,32.31525576,3.557656419,South Sudan-Uganda,0.3689117636980315,259.0,0.4850299401197604,0.3142973065518282,0.4058029400589742,257.0,0.4890219560878243,259.0,0.4850299401197604
4005,0000000000000000002f,Uganda,,sample_camp,0.3147304743194043,0.4424109844230047,0.2184987362100671,0.0010735592981413,0.063908384857353,0.2599492696563579,0.025039284471005,0.1468091688327137,0.2339508776004759,0.4996791012637382,0.0458728149400996,0.7692769451507127,0.2406427055990142,0.4153132713066626,8.860463128392799e-11,30.99258898,3.664887448,South Sudan-Uganda,0.2347094479407734,470.0,0.0638722554890219,0.1812526982197794,0.2581803927259903,470.0,0.0638722554890219,470.0,0.0638722554890219
4006,48,Uganda,,sample_camp,0.4128856169984101,0.947099842902379,0.3833024172416596,0.0100461735286949,0.0114444794561051,0.1234770921076868,0.2977085722826373,0.0818769802071049,0.2129906829036055,0.3980849026658598,0.0260824822132313,0.9185060735782404,0.3021342730858432,0.3912367164201504,8.860463128392799e-11,31.19875465,2.992347082,South Sudan-Uganda,0.2952340522557172,354.0,0.2954091816367265,0.2300474731910509,0.3247574574724284,378.0,0.24750499001996,354.0,0.2954091816367265
4007,0000000000000000005a,Uganda,,sample_camp,0.4364064165153583,0.648418264156032,0.4162626957462975,0.0004408139975856,0.0323578287729909,0.2417546876925676,0.1760787502182977,0.1425803415553891,0.2223743355700132,0.3422264863363764,0.0518324518447389,0.7573414235811375,0.2532386039145098,0.4712981356709227,8.860463128392799e-11,31.2404526,3.752827527,South Sudan-Uganda,0.2478239678338958,450.0,0.1037924151696606,0.1968722222591717,0.272606364608425,451.0,0.1017964071856287,450.0,0.1037924151696606
4008,61,Uganda,,sample_camp,0.4190031978615576,0.675778279132514,0.243191120554263,0.0031633407499831,0.0094652362115748,0.167364107200202,0.2772041764203627,0.1274761888908127,0.1214033647026281,0.384390775688344,0.0532425677710915,0.7574150784227649,0.3173903500817472,0.4644032762916676,8.860463128392799e-11,31.22584114,3.557614161,South Sudan-Uganda,0.2515288433154379,439.0,0.1257485029940119,0.2009402198047052,0.2766817276381212,444.0,0.1157684630738523,439.0,0.1257485029940119
4009,77,Uganda,,sample_camp,0.3710322882950309,0.4372112053172467,0.2022489803737208,0.0002644362073591,0.0106345408740891,0.0859915204403556,0.5258636859781185,0.0728178617676383,0.2380666208648303,0.770944318910515,0.0450654370465825,0.7175891690064354,0.2816561234632026,0.3506574655914605,8.860463128392799e-11,32.20759497,3.064437571,South Sudan-Uganda,0.2830260961997581,372.0,0.2594810379241516,0.2342342739286824,0.3113287058108735,366.0,0.2714570858283433,372.0,0.2594810379241516
4010,000000000000000000b2,Uganda,,sample_camp,0.4319242506076335,0.9856693166915798,0.3682950004551645,0.000867751002367,0.0053382871718981,0.1084869160138305,0.3039756585599026,0.0761788575473188,0.2716284472775203,0.3883723961497104,0.0299122675590726,0.9601429100340484,0.3561867170994465,0.6782977268043431,8.860463128392799e-11,31.21262726,2.734955851,South Sudan-Uganda,0.3100527879679983,331.0,0.3413173652694611,0.2424911350956401,0.3410580667559376,347.0,0.3093812375249501,331.0,0.3413173652694611
4011,000000000000000000c3,Uganda,,sample_camp,0.1285265186296524,0.3828263663552989,0.1675120944821359,0.0006089906826867,0.1052318687249822,0.084757390600378,0.5155935808451217,0.0949705801283279,0.0398689923646038,0.6144733948123149,0.0719432997569405,0.677153888533709,0.3055302390054909,0.2986435826012761,8.860463128392799e-11,32.06105686,2.734408967,South Sudan-Uganda,0.2543625465245575,435.0,0.1337325349301397,0.2120834123236422,0.2797988011681527,425.0,0.1536926147704591,435.0,0.1337325349301397
4012,000000000000000000cb,Uganda,,sample_camp,0.3067836552345555,0.7024668148234481,0.4885307673541605,0.0005298125782066,0.0068311509496213,0.168415921547416,0.2558778035277731,0.5497552769008204,0.2267024944458549,0.3450255490088271,0.0457448159341102,0.738853567300393,0.2643603588324865,0.4022740994803176,8.860463128392799e-11,31.19640438,3.474356925,South Sudan-Uganda,0.2504371171851583,440.0,0.12375249500998,0.2015954721736348,0.2754808288948137,443.0,0.1177644710578842,440.0,0.12375249500998
