Unnamed: 0,index,country,camp_name,sample,coefficient_variation_ndvi,daytime_maximum_temperature,evi_change,flow_accumulation,friction,interannual_coefficient_variation_precipitation,pdsi,population,precipitation,seasonal_precipitation_max,slope,specific_humidity,ssm,susm,temperature_anomaly,longitude,latitude,edge,exposure,rank,percentile,min_exposure,max_exposure,min_rank,min_percentile,max_rank,max_percentile
13,14,Tanzania,Nyarugusu,study_camp,0.3966062038234961,0.7772747609395713,0.2313906442580373,0.0032876966667694,0.006318250263126,0.455573834339638,0.2340806975013844,0.1899647165116621,0.3789358535137377,0.2894180724484163,0.0473125038441179,0.6654128820684709,0.5579373781100568,0.3709537596893318,1.0,30.38945000071806,-4.230328621797327,"['Dem Rep of the Congo-Tanzania', 'Burundi-Tanzania']",0.4014138117904808,492.0,0.5094905094905094,0.3415551929695289,0.4412264233028519,574.0,0.4275724275724276,490.0,0.5114885114885115
3004,332,Tanzania,,sample_camp,0.3399779531724748,0.6216530610497129,0.5815045900761959,8.45904212543177e-05,0.1175603839684494,0.2039235364962489,0.6222983715518832,0.0557702335907282,0.2646401361564128,0.3542359527318017,0.0606260598962497,0.7411918798642131,0.6775254429062233,0.5793374827081833,0.5858509287748546,29.94922337,-4.99606827,Dem Rep of the Congo-Tanzania,0.3863263948924821,555.0,0.4465534465534465,0.3508398463953091,0.4249505753396049,508.0,0.4935064935064935,550.0,0.4515484515484515
3005,000000000000000001ed,Tanzania,,sample_camp,0.3780849833357937,0.4378109985469107,0.6068981102103779,0.0023499757362221,0.0022463893705778,0.183250969389934,0.5538443221964019,0.0869845697978144,0.2792979427110684,0.2351230255015104,0.0561298541644348,0.719934621107766,0.6199237729132828,0.3885313580098862,0.7386064774654277,29.99720935,-4.861937284,Burundi-Tanzania,0.3480471226457761,779.0,0.2227772227772227,0.3089911871638109,0.3826271959732959,741.0,0.2607392607392607,780.0,0.2217782217782218
3006,000000000000000003cd,Tanzania,,sample_camp,0.2025424404466002,0.5651278990804128,0.5685973427323837,5.714911399084096e-05,0.121301116452411,0.2640186881696713,0.5939897809331222,0.0202326002602727,0.2445496701432139,0.3726202251005296,0.1769673856364403,0.6014498860843263,0.6060967247661758,0.6171890602035686,0.5072046846652777,30.00358845,-5.630316157,Dem Rep of the Congo-Tanzania,0.3684893827405066,664.0,0.3376623376623376,0.3447286485379396,0.4053326061031582,553.0,0.4485514485514486,663.0,0.3386613386613387
3007,0000000000000000011d,Tanzania,,sample_camp,0.267303415198407,0.5094479681525804,0.4801707520802344,0.0001472557342146,0.1494696051498472,0.8908788013475343,0.6015652383376571,0.0156451193119799,0.6704298223243756,0.6040778034535516,0.1501426244713992,0.5981436373709726,0.411113802642671,0.0,0.9518574019567216,31.55061189,-2.502899128,Burundi-Tanzania,0.503388541903775,43.0,0.958041958041958,0.4585416558984804,0.5537126705207311,39.0,0.962037962037962,43.0,0.958041958041958
3008,0000000000000000005e,Tanzania,,sample_camp,0.2708725724103284,0.3440809995003061,0.5355444747621049,0.000507385081113,0.0173432437415312,0.3976968516428643,0.3444109265576063,0.1523636448961738,0.4663111112023483,0.3445123672248351,0.4016345640298134,0.5856561584236115,0.6676348568043443,0.6318395056130247,0.8897342602774113,30.52449336,-2.496864235,Burundi-Tanzania,0.4054111567714349,471.0,0.5304695304695305,0.3569788464208374,0.4459015339404672,472.0,0.5294705294705294,468.0,0.5334665334665335
3009,191,Tanzania,,sample_camp,0.3782433155084821,0.3669980411327916,0.5187733333457519,0.0011604386913548,0.1925094284056509,0.3726599245613948,0.4790704142692996,0.0100022675652788,0.6412079301049326,0.49282024501069,0.490132130165779,0.5414367053017416,0.6961624814310072,0.5097791815524126,0.991216879068652,30.95717053,-2.507407918,Burundi-Tanzania,0.4786704198312085,98.0,0.903096903096903,0.4274157739074642,0.5264214179451939,100.0,0.9010989010989012,97.0,0.904095904095904
3010,118,Tanzania,,sample_camp,0.349311941488119,0.670411903767843,0.7234670974538889,0.0001676836382541,0.1285183971490909,0.4698395908600435,0.2923945950832977,0.0175960594757282,0.3138662698204174,0.0892084097538951,0.0304823322089725,0.6148743887999267,0.8771347495298033,0.7379110600930738,0.870738186439664,30.51072008,-4.997246226,Burundi-Tanzania,0.3961487733682917,508.0,0.4935064935064935,0.3480501757521405,0.4357468823412954,525.0,0.4765234765234765,507.0,0.4945054945054945
3011,0.00E+00,Tanzania,,sample_camp,0.4352735468602528,0.6149017352279489,0.606903925628314,4.932636376636253e-05,0.0023116074741828,0.2758429106056654,0.4620457217231321,0.017596061658852,0.2504612871101475,0.2151378245880016,0.0488238840884788,0.5987769781190716,0.8405177712751655,0.8220979837470559,0.9704344312890758,30.28926166,-4.993544068,Burundi-Tanzania,0.389027588896785,540.0,0.4615384615384615,0.3308869046575561,0.427925415150087,633.0,0.3686313686313686,540.0,0.4615384615384615
3012,000000000000000002b8,Tanzania,,sample_camp,0.3802430686977477,0.5438589050083753,0.7287814114793556,1.0,0.0809332953626009,0.3899446589331876,0.5258189387055948,0.0674887115919737,0.419737854479039,0.3236218530655049,0.2351863129847753,0.8454214741751992,0.6904279992037181,0.5550605577227216,0.4329171918557199,29.9929979,-5.161372618,Dem Rep of the Congo-Tanzania,0.4988971348885195,45.0,0.956043956043956,0.4487868483773715,0.5406935188411114,52.0,0.949050949050949,65.0,0.936063936063936
