Unnamed: 0,index,country,camp_name,sample,coefficient_variation_ndvi,daytime_maximum_temperature,evi_change,flow_accumulation,friction,interannual_coefficient_variation_precipitation,pdsi,population,precipitation,seasonal_precipitation_max,slope,specific_humidity,ssm,susm,temperature_anomaly,longitude,latitude,edge,exposure,rank,percentile,min_exposure,max_exposure,min_rank,min_percentile,max_rank,max_percentile
0,1,Kenya,Kakuma,study_camp,0.427658594174021,0.9123747038383906,0.49096962748991,0.0336405844671684,0.0068222566311059,0.5030342530577284,0.8850841284250482,0.1503781091758106,0.3804756201942916,0.0810844085756967,0.0173749340084313,0.5849583566284507,0.7564688660249349,0.7545337518981896,0.7464848367531746,34.83166341855952,3.744966881319992,"['South Sudan-Kenya', 'Somalia-Kenya', 'Ethiopia-Kenya', 'Uganda-Kenya']",0.4461639044185838,603.0,0.6976511744127936,0.3995428244766031,0.4900980691973315,629.0,0.6846576711644178,617.0,0.6906546726636682
0,000000000000000001cf,Kenya,,sample_camp,0.4924739168828033,0.8076769407563675,0.3771618044413964,0.0015717891714256,0.217759399217982,0.292359550796669,0.9425954315443728,0.0146591651837851,0.5033988753636035,0.258695144365347,0.024072699206127,0.5766788048756639,0.6344197802384913,0.7579218348662808,0.7464848365454225,34.18921798,4.219379195,Uganda-Kenya,0.4550648410983156,379.0,0.8098450774612693,0.40631178205371,0.5004141462910047,447.0,0.7758620689655172,378.0,0.8103448275862069
1,000000000000000001cf,Kenya,,sample_camp,0.4924739168828033,0.8076769407563675,0.3771618044413964,0.0015717891714256,0.217759399217982,0.292359550796669,0.9425954315443728,0.0146591651837851,0.5033988753636035,0.258695144365347,0.024072699206127,0.5766788048756639,0.6344197802384913,0.7579218348662808,0.7464848365454225,34.18921798,4.219379195,South Sudan-Kenya,0.4550648410983156,379.0,0.8098450774612693,0.40631178205371,0.5004141462910047,447.0,0.7758620689655172,378.0,0.8103448275862069
2,28,Kenya,,sample_camp,0.4478750602487015,0.650382909590194,0.3955608315414193,0.002694614603676,0.1520241807189047,0.364313843341387,0.9258166425149508,0.0015398126499998,0.4807484764521899,0.2730729264406882,0.0362998992783377,0.546034497354338,0.5737426502801485,0.6693464057513295,0.7464848365454225,34.347504,3.889927999,Uganda-Kenya,0.431965043374567,918.0,0.5399800099950025,0.3825798834605286,0.474892086251656,956.0,0.5209895052473763,908.0,0.5449775112443778
3,28,Kenya,,sample_camp,0.4478750602487015,0.650382909590194,0.3955608315414193,0.002694614603676,0.1520241807189047,0.364313843341387,0.9258166425149508,0.0015398126499998,0.4807484764521899,0.2730729264406882,0.0362998992783377,0.546034497354338,0.5737426502801485,0.6693464057513295,0.7464848365454225,34.347504,3.889927999,South Sudan-Kenya,0.431965043374567,918.0,0.5399800099950025,0.3825798834605286,0.474892086251656,956.0,0.5209895052473763,908.0,0.5449775112443778
4,0000000000000000008c,Kenya,,sample_camp,0.4782663855015492,0.6743271461180315,0.3319518151075563,0.000386227883153,0.2660529917061325,0.3712802490893166,0.9377256564302456,0.0012403195245116,0.5230555165730685,0.2630109417848194,0.4370355956165033,0.5392293841826513,0.5762407290318821,0.643444439108143,0.7464848365454225,34.28985997,3.959759117,Uganda-Kenya,0.4849844795419296,113.0,0.9437781109445276,0.4397103618530981,0.5334443047078073,124.0,0.9382808595702148,110.0,0.9452773613193404
5,0000000000000000008c,Kenya,,sample_camp,0.4782663855015492,0.6743271461180315,0.3319518151075563,0.000386227883153,0.2660529917061325,0.3712802490893166,0.9377256564302456,0.0012403195245116,0.5230555165730685,0.2630109417848194,0.4370355956165033,0.5392293841826513,0.5762407290318821,0.643444439108143,0.7464848365454225,34.28985997,3.959759117,South Sudan-Kenya,0.4849844795419296,113.0,0.9437781109445276,0.4397103618530981,0.5334443047078073,124.0,0.9382808595702148,110.0,0.9452773613193404
6,144,Kenya,,sample_camp,0.5803922749170746,0.7770487366397069,0.4334316788079831,0.0078660257015869,0.2348845061834993,0.3775705145887021,0.9399430526606384,0.0086235629363478,0.5181506004909976,0.2582637711222534,0.021881244555013,0.5688002814810975,0.6086457419287419,0.7232799928696655,0.7464848365454225,34.26566239,4.04295074,Uganda-Kenya,0.4599581192634236,303.0,0.8483258370814593,0.4119596259237021,0.5051673286196073,349.0,0.8253373313343328,307.0,0.8463268365817092
7,144,Kenya,,sample_camp,0.5803922749170746,0.7770487366397069,0.4334316788079831,0.0078660257015869,0.2348845061834993,0.3775705145887021,0.9399430526606384,0.0086235629363478,0.5181506004909976,0.2582637711222534,0.021881244555013,0.5688002814810975,0.6086457419287419,0.7232799928696655,0.7464848365454225,34.26566239,4.04295074,South Sudan-Kenya,0.4599581192634236,303.0,0.8483258370814593,0.4119596259237021,0.5051673286196073,349.0,0.8253373313343328,307.0,0.8463268365817092
1008,0000000000000000001b,Kenya,,sample_camp,0.7268789834332884,0.8417696240887301,0.2758854629151886,0.002587876668373,0.1597216701767113,0.3314404115908347,0.6969570754344114,0.0005410249357079,0.4090000054620876,0.2374310181021375,0.0481253455274532,0.4783325278364346,0.8297912872681986,0.7917453842711782,0.7079194823083094,36.78494786,4.221228061,Ethiopia-Kenya,0.4311887567694256,928.0,0.5347326336831584,0.3901306700374951,0.4740488447795309,849.0,0.5747126436781609,923.0,0.5372313843078461
